Date,Stock Price,Option Price,Implied Volatility,HE,Delta,PNL,PNL Hedged
2011-07-05,532.44,44.2,0.257,0,0.722841,0,0
2011-07-06,535.36,46.9,0.267,-0.591873,0.733205,-2.7,-0.591873
2011-07-07,546.6,55.3,0.267,-0.753399,0.787781,-11.1,-0.753399
2011-07-08,531.99,43.95,0.266,-0.915418,0.719366,0.25,-0.915418
2011-07-11,527.28,41,0.273,-1.35592,0.691615,3.2,-1.35592
2011-07-12,534.01,46.4,0.284,-2.10368,0.722702,-2.2,-2.10368
2011-07-13,538.26,49.3,0.284,-1.93436,0.745151,-5.1,-1.93436
2011-07-14,528.94,41.15,0.269,-0.73128,0.707067,3.05,-0.73128
2011-07-15,597.62,99.65,0.278,-10.6719,0.941003,-55.45,-10.6719
2011-07-18,594.94,97.65,0.297,-11.1966,0.926485,-53.45,-11.1966
2011-07-19,602.55,103.8,0.263,-10.2992,0.960394,-59.6,-10.2992
2011-07-20,595.35,97.8,0.296,-11.2177,0.932055,-53.6,-11.2177
2011-07-21,606.99,108.15,0.272,-10.7223,0.964441,-63.95,-10.7223
2011-07-22,618.23,118.7,0.245,-10.4358,0.986115,-74.5,-10.4358
2011-07-25,618.98,119.95,0.29,-10.9502,0.971809,-75.75,-10.9502
2011-07-26,622.52,123.25,0.283,-10.8141,0.978678,-79.05,-10.8141
2011-07-27,607.22,108.65,0.301,-11.1921,0.957585,-64.45,-11.1921
2011-07-28,610.94,112.1,0.298,-11.0839,0.965217,-67.9,-11.0839
2011-07-29,603.69,106.8,0.365,-12.7856,0.924652,-62.6,-12.7856
